z,gpz:z,error,Model Uncertaties,Noise,MAG_AUTO_G_DERED,MAG_AUTO_R_DERED,MAG_AUTO_I_DERED,MAG_AUTO_Z_DERED,MAG_AUTO_Y_DERED
0.4475,0.5151324427686104,0.06763245230535353,9.868413357315893e-06,0.0047328708206313295,22.60135269165039,21.375917434692383,20.955730438232422,20.68950653076172,20.858749389648438
0.5023,0.6331621471628445,0.1308621231302517,4.357978188735467e-06,0.007894822551422312,23.269329071044922,22.331295013427734,21.78485107421875,21.82105827331543,21.04506492614746
0.6151,0.6014175087724031,-0.013682517358273194,8.032467084307225e-06,0.010710970415102376,24.177858352661133,22.720714569091797,22.132352828979492,22.07254981994629,21.906742095947266
0.5256,0.5105536271074833,-0.015046389009612637,7.471999559454644e-06,0.00324780885909442,22.172504425048828,21.152206420898438,20.806228637695312,20.67546844482422,20.400819778442383
0.7058,0.7993650694362125,0.0935650725833378,1.041098379797193e-05,0.010848180636583831,23.455835342407227,23.015647888183594,22.183618545532227,22.375898361206055,22.50445556640625
0.6225,0.6417069414876839,0.019206939103498133,7.024586820718909e-06,0.006515461850821491,23.072046279907227,22.196868896484375,21.76050567626953,21.56365203857422,21.52497100830078
0.6245,0.6262546197169298,0.0017546430819505021,2.3661429658529674e-05,0.014380329747469278,25.889881134033203,23.070335388183594,22.471437454223633,22.202444076538086,21.878190994262695
1.1342,0.6702716953767157,-0.46392828154436583,1.0287307284770532e-05,0.009196659123923269,23.255207061767578,22.230024337768555,21.68486213684082,21.36597442626953,22.429847717285156
0.2695,0.7372852493312597,0.4677852619674444,6.7933558218648805e-06,0.02005063626021871,24.06224822998047,23.10826873779297,22.342973709106445,22.369384765625,21.432388305664062
0.717,0.7600139110075215,0.04301390337812694,0.00020755185359324664,0.02661501288887624,33.55958938598633,23.27867889404297,22.033559799194336,21.772783279418945,21.973350524902344
0.8363,0.8117337007056086,-0.024566314743915352,3.187704143841885e-05,0.017263461185709674,25.880359649658203,23.825927734375,22.548179626464844,21.94729232788086,23.37813949584961
0.7784,0.750665323781816,-0.027734680128248645,8.197624472294985e-06,0.001773325610775391,24.300125122070312,22.14727783203125,20.96962547302246,20.44910430908203,20.579965591430664
0.5459,0.5425047453650593,-0.0033952418557048336,5.0037348669971205e-06,0.0038973851673763005,23.37764549255371,21.89068031311035,21.196582794189453,20.815858840942383,20.79722785949707
0.6215,0.6610853718363308,0.0395853565775417,6.5240243386070275e-06,0.005035023674922618,23.991539001464844,22.6329288482666,21.80217170715332,21.473527908325195,21.096643447875977
